"Parish","Holding","X","Y","Cattle","Sheep","Infection","Cull","Classification","Exposed","Removed","xytmodes","k10","k20","k26","k30"
46,11,324.8,535.6,0,622,0,0,1,0,0,2,4,19,15,21
31,48,320.934,545.306,343,553,0,0,1,0,0,7,6,12,10,29
68,61,337.1,546.1,200,114,46,54,1,41,50,4,3,10,23,30
394,35,359.2,524,18,0,0,0,0,0,0,3,8,15,5,8
404,46,359.245,521.247,0,44,0,0,0,0,0,3,8,15,5,8
138,76,353.5,543.7,93,635,0,0,1,0,0,3,7,16,19,14
138,82,352,544.8,20,31,0,0,0,0,0,3,7,1,19,1
389,17,350.9,523.6,92,0,0,0,0,0,0,6,8,15,9,6
30,23,322.8,543.7,0,50,0,0,0,0,0,14,6,18,10,29
39,36,323,545.2,115,477,47,56,1,42,51,7,6,12,10,29
173,157,346.322,533.025,167,725,29,38,1,24,33,11,10,4,1,27
117,4,352.3,552.6,276,0,0,0,1,0,0,17,7,17,13,26
134,29,329.1,522.6,61,0,0,0,0,0,0,15,1,9,8,11
142,15,336.1,539.8,117,340,0,0,1,0,0,4,5,11,18,10
146,141,347.1,529.4,0,418,0,0,1,0,0,11,10,4,1,27
50,39,335.8,536.5,282,1678,90,98,1,85,94,4,5,14,25,22
152,59,347.3,538.6,284,3204,49,56,1,44,53,10,2,20,4,20
142,95,338.1,536.1,55,53,0,0,0,0,0,4,5,14,25,22
143,8,347.6,533.1,104,0,0,0,1,0,0,11,10,4,1,27
137,19,326.3,525.7,0,17,0,0,0,0,0,21,1,6,21,11
173,94,341.4,546.6,69,0,0,0,0,0,0,4,9,10,26,23
131,69,322.9,532.3,4,196,0,0,0,0,0,2,4,19,15,13
28,70,331.1,552.2,85,0,39,47,0,34,43,1,3,7,12,25
150,56,356,538.5,0,279,34,44,0,29,38,20,2,5,20,24
38,198,331,542.5,6,64,0,0,0,0,0,12,3,11,14,7
146,137,348.652,528.201,0,114,0,0,0,0,0,9,10,4,1,27
38,121,325.5,545.9,249,0,0,0,1,0,0,22,6,12,10,3
87,2,322.4,534.3,58,484,0,0,1,0,0,2,4,19,15,13
153,34,357.1,537.4,245,0,0,0,1,0,0,20,2,5,20,24
152,260,346.8,540,0,170,0,0,0,0,0,10,9,20,4,20
120,46,351.5,550,157,0,0,0,1,0,0,17,7,17,13,26
130,18,324.2,520.8,0,930,0,0,1,0,0,21,1,6,21,11
163,49,339.3,521.7,236,2842,0,0,1,0,0,9,10,8,22,28
117,3,352.8,551.8,213,1155,0,0,1,0,0,17,7,17,13,26
157,33,341.7,527.7,45,815,0,0,1,0,0,11,10,8,22,28
152,244,343,543.7,263,0,0,0,1,0,0,4,9,10,17,9
151,41,343.7,530.7,0,43,0,0,0,0,0,11,10,4,1,27
86,118,349.2,554,147,2283,0,0,1,0,0,8,7,13,3,4
68,82,339.069,547.693,589,724,32,44,1,27,36,23,9,2,26,23
68,27,334.6,548.4,243,0,60,68,1,55,64,1,3,7,23,25
153,26,358.7,534.3,211,289,0,0,1,0,0,20,2,5,20,24
153,9,357.1,536.2,177,0,39,47,1,34,43,20,2,5,20,24
134,5,331.8,524.4,75,884,0,0,1,0,0,15,1,9,8,11
152,136,349.2,545.3,325,0,0,0,1,0,0,8,7,1,19,1
138,10,352.7,546.8,157,0,68,75,1,63,72,17,7,1,19,1
30,19,324.2,544.2,141,334,0,0,1,0,0,7,6,12,10,29
36,18,334,541.4,170,821,69,76,1,64,73,4,5,11,14,10
39,30,322.157,550.245,95,227,62,70,0,57,66,7,6,12,10,19
152,4,345.1,545,41,65,0,0,0,0,0,4,9,20,17,20
163,101,343.2,525.1,87,0,0,0,0,0,0,11,10,8,22,28
37,28,330.4,551.3,363,116,51,58,1,46,55,1,3,7,6,25
28,3,327.332,553.085,261,507,51,60,1,46,55,7,6,3,2,17
152,96,349.5,537.6,481,0,0,0,1,0,0,20,2,20,4,20
37,24,332.6,550.2,0,75,0,0,0,0,0,1,3,7,12,25
163,22,344.2,521.7,83,320,0,0,0,0,0,11,10,8,22,6
46,63,324.9,536.9,219,1741,84,92,1,79,88,1,4,19,11,21
130,58,324.618,523.671,24,0,0,0,0,0,0,21,1,6,21,11
152,69,347.4,540.9,364,1007,92,100,1,87,96,8,9,20,4,20
46,128,326.8,536.7,83,1804,77,84,1,72,81,1,4,19,11,21
30,59,322.7,540.8,69,0,0,0,0,0,0,14,4,18,11,18
86,294,346.9,550.3,62,157,0,0,0,0,0,8,9,13,3,4
68,5,338,549.4,318,2091,52,60,1,47,56,23,3,2,26,23
146,41,345.6,526.3,177,78,0,0,1,0,0,11,10,8,9,6
150,25,353.3,536.4,11,0,0,0,0,0,0,20,2,5,20,24
146,65,344.8,525.8,87,0,0,0,0,0,0,11,10,8,22,6
30,46,325.3,542.1,248,78,68,78,1,63,72,14,4,18,11,5
31,30,320.2,545.9,95,163,0,0,0,0,0,7,6,12,10,29
36,13,336.1,541.6,173,0,61,68,1,56,65,4,5,10,18,10
387,8,350.8,523.7,239,0,0,0,1,0,0,6,8,15,9,6
146,7,346.6,531.6,272,0,0,0,1,0,0,11,10,4,1,27
210,3,321.4,549.8,122,293,0,0,1,0,0,7,6,12,10,19
50,18,330.1,538.9,72,708,0,0,1,0,0,12,4,11,14,2
46,24,325.8,536.1,100,1944,0,0,1,0,0,2,4,19,11,21
68,249,337.4,552.3,61,125,0,0,0,0,0,1,3,2,12,15
86,284,346.5,554.8,42,3,0,0,0,0,0,31,9,13,3,4
152,47,348.4,539.6,191,173,0,0,1,0,0,10,2,20,4,20
68,34,334.3,548.7,255,0,62,71,1,57,66,1,3,7,23,25
152,66,350.2,535.1,407,0,0,0,1,0,0,20,2,5,4,12
152,63,346.3,542.6,140,0,0,0,1,0,0,4,9,20,17,20
50,103,329.6,539.5,53,876,0,0,1,0,0,12,4,11,14,2
152,133,347.6,541.6,137,436,25,34,1,20,29,8,9,20,17,20
38,170,327.5,547.6,27,28,0,0,0,0,0,22,6,12,6,3
50,24,330.389,537.396,103,1349,0,0,1,0,0,12,4,11,14,2
142,7,336.6,537.5,67,348,0,0,0,0,0,4,5,14,25,10
38,1,332,544.8,0,122,0,0,0,0,0,12,3,7,23,7
387,4,351,523.6,36,114,0,0,0,0,0,6,8,15,9,6
157,80,343.7,527.2,0,1171,0,0,1,0,0,11,10,8,22,28
86,10,347.5,552.4,364,0,0,0,1,0,0,8,9,13,3,4
43,2,320.531,538.613,146,1475,0,0,1,0,0,1,4,18,11,18
130,36,322.6,524.9,0,327,0,0,0,0,0,21,1,6,21,11
40,41,329,549.5,34,1810,41,53,1,36,45,7,6,7,6,25
152,24,343.3,545.4,140,553,0,0,1,0,0,4,9,10,17,9
211,19,338.3,553.5,153,0,47,55,1,42,51,23,3,2,12,15
72,21,339.8,553,178,0,0,0,1,0,0,23,9,2,26,23
38,62,326.8,543.3,59,80,0,0,0,0,0,7,6,18,10,5
163,42,335.8,525.5,10,676,0,0,1,0,0,15,1,9,8,28
68,117,338.7,545.1,48,56,0,0,0,0,0,4,9,10,18,30
394,33,359.7,525,40,141,0,0,0,0,0,3,8,15,5,8
163,65,337.1,520.8,4,2144,0,0,1,0,0,15,1,8,22,28
392,18,358.8,528.9,187,3043,0,0,1,0,0,25,8,15,5,8
152,118,349.752,547.307,52,0,0,0,0,0,0,17,7,1,19,1
146,145,349.715,529.208,14,33,0,0,0,0,0,5,10,4,7,27
173,198,341.5,540.9,0,183,0,0,0,0,0,4,5,10,18,9
173,149,344.2,536.4,192,373,0,0,1,0,0,10,5,20,24,16
142,63,334.7,539.5,192,0,51,60,1,46,55,4,5,11,14,10
39,100,324.259,546.362,1,81,0,0,0,0,0,22,6,12,10,29
68,56,336.1,546,164,0,0,0,1,0,0,20,3,10,23,30
28,85,329.17,554.62,305,448,27,37,1,22,31,7,3,3,2,17
151,53,339.6,535,88,0,0,0,0,0,0,10,5,14,25,22
173,228,341.7,535.2,118,845,0,0,1,0,0,10,5,14,24,16
50,29,334.8,537,0,5,0,0,0,0,0,12,5,11,25,10
68,30,334.7,547.9,30,0,0,0,0,0,0,1,3,7,23,30
173,92,343.6,540.4,16,95,0,0,0,0,0,4,5,20,24,9
72,13,341.6,549.7,403,0,33,42,1,28,37,23,9,2,26,23
138,104,355.8,549.3,33,2213,0,0,1,0,0,17,7,17,13,26
86,77,347.4,550.5,124,704,61,71,1,56,65,8,9,13,3,4
152,22,348.8,545.8,156,0,0,0,1,0,0,8,7,1,19,1
149,83,357.6,538.7,27,0,0,0,0,0,0,20,2,5,20,24
137,15,329.788,524.973,0,1944,58,68,1,53,62,15,1,9,8,11
389,12,346.2,522.5,85,597,0,0,1,0,0,11,10,8,9,6
149,9,357.552,538.562,44,484,0,0,1,0,0,20,2,5,20,24
43,8,321.2,540.1,295,0,55,68,1,50,59,14,4,18,11,18
50,112,332.6,537.7,20,106,0,0,0,0,0,12,5,11,14,2
40,22,326.8,547.9,69,0,0,0,0,0,0,22,6,12,6,3
397,26,357.2,522.2,206,0,0,0,1,0,0,3,8,15,5,8
150,14,355.46,537.075,264,305,37,47,1,32,41,20,2,5,20,24
146,5,346.7,530.1,0,668,0,0,1,0,0,11,10,4,1,27
152,38,346.7,546.3,325,0,79,86,1,74,83,8,9,1,17,20
36,16,334.7,542,78,0,48,55,0,43,52,4,5,11,18,10
143,47,347.8,532.1,331,0,0,0,1,0,0,11,10,4,1,27
