"position_x","position_y","time_of_infected","xytmodes","k3","kt3","k5","kt5","k8","kt8","k10","kt10"
15.7467510062868,21.7962176721864,2,1,2,3,4,1,8,2,4,3
17.9100177403408,23.280905185874,3,1,2,3,1,5,1,5,2,8
16.9561877656844,23.5748722159272,2,1,2,3,1,5,4,5,5,5
15.6508493902934,21.5341534143269,1,1,2,3,4,1,8,2,4,3
16.2084511990746,25.7972047820708,3,1,2,3,1,5,4,5,5,5
15.4366057698885,19.7047796847704,0,1,2,3,4,1,8,2,4,3
19.7583725732327,21.2559261412039,2,1,2,3,4,5,1,5,2,8
16.556586575815,18.5450419822583,2,1,2,3,4,5,8,5,4,5
17.7277828929095,20.8275316372032,2,1,2,3,4,5,1,5,2,8
16.2968268779939,21.5678902440811,1,1,2,3,4,5,8,5,4,3
14.8425273504297,21.5480583245025,2,1,2,3,4,1,8,2,4,3
16.1693699287011,21.2053899792914,1,1,2,3,4,5,8,5,4,3
18.2667596177869,20.8055064196548,2,1,2,3,4,5,1,5,2,8
15.2257023407434,21.76396772161,2,1,2,3,4,1,8,2,4,3
12.8987407947551,24.1288483591928,3,1,2,3,1,1,4,2,5,6
15.0037428762236,21.2020679205299,1,1,2,3,4,1,8,2,4,3
17.0013300896156,21.326196018052,2,1,2,3,4,5,1,5,2,5
18.5489869714198,22.6835658430183,2,1,2,3,4,5,1,5,2,8
12.0246951419997,18.9380926651289,2,1,2,3,4,1,8,2,4,6
16.51865732768,22.4155332903689,2,1,2,3,4,5,1,5,2,5
12.3157852377164,23.5023106094668,3,1,2,3,1,1,4,2,5,6
17.1512381008172,21.5217649669913,2,1,2,3,4,5,1,5,2,5
16.9857095706798,24.6825511584119,2,1,2,3,1,5,4,5,5,5
15.4342969311222,19.7567379804351,1,1,2,3,4,1,8,2,4,3
15.405896482758,24.4168510847682,3,1,2,3,1,1,4,2,5,3
16.5341947543643,24.3614134546679,3,1,2,3,1,5,4,5,5,5
16.7239681596816,24.1218462488201,2,1,2,3,1,5,4,5,5,5
15.1616320264355,20.3097129066922,1,1,2,3,4,1,8,2,4,3
15.665307658448,22.1748547868257,2,1,2,3,4,1,8,2,4,3
17.0762630503116,18.0988751572026,2,1,2,3,4,5,8,5,4,5
17.1361752606861,23.8641020483328,3,1,2,3,1,5,4,5,5,5
15.5141780316388,21.8248512514544,2,1,2,3,4,1,8,2,4,3
15.4981355817511,25.5052940744653,4,1,2,3,1,1,4,2,5,5
16.0353057271464,23.9699597343658,3,1,2,3,1,5,4,5,5,5
29.3209435800392,11.6304743484523,4,4,3,2,2,4,5,4,8,2
27.9943749829469,11.8526691673548,4,4,3,2,2,4,5,4,7,10
28.0992097467472,9.46069936876097,5,4,3,2,2,4,5,4,6,9
30.0643282071518,12.3008886946366,5,4,3,2,2,4,5,4,8,2
27.8532065772051,9.18429499566326,6,4,3,2,2,4,5,4,6,9
28.0330493790695,12.4707817566172,5,4,3,2,2,4,5,4,7,9
28.2552549918489,11.8856021275007,4,4,3,2,2,4,5,4,7,10
28.532896898075,12.3945829585508,5,4,3,2,2,4,5,4,7,9
31.2166758878672,12.7058806964813,5,4,3,2,2,4,5,4,8,4
27.8118683845992,12.3199381687884,5,4,3,2,2,4,5,4,7,9
28.1664297206811,12.725846204741,4,4,3,2,2,4,5,4,7,10
27.4787729625063,12.4738546309907,4,4,3,2,2,4,5,4,7,10
30.2531550576341,11.7619094557817,5,4,3,2,2,4,5,4,8,2
30.7325609338859,12.0110713978383,5,4,3,2,2,4,5,4,8,2
28.4757485529914,13.7125208598673,3,4,3,2,2,4,5,4,3,10
27.1761261472789,11.8185180790314,5,4,3,2,2,4,5,4,7,1
28.8358286300401,9.22277900904495,6,4,3,2,2,4,5,4,6,9
31.7669741502942,11.7406024075872,5,4,3,2,2,4,5,4,8,4
28.5536571198665,14.333620546448,4,4,3,2,2,4,5,4,3,10
29.7025072613316,11.0324592393781,5,4,3,2,2,4,5,4,8,2
30.8848244469149,13.7591569706935,6,4,3,2,2,4,5,4,8,4
27.8929501783423,13.1336187147798,4,4,3,2,2,4,5,4,7,10
28.3737871871479,14.5415654937483,5,4,3,2,2,4,5,4,3,9
27.0504882977145,11.4972738276712,4,4,3,2,2,4,5,4,7,1
30.0701549937613,12.1025867589987,5,4,3,2,2,4,5,4,8,2
25.6814596542256,14.1332369356541,5,4,3,2,2,4,5,4,3,1
26.5423179965923,13.2588200033169,5,4,3,2,2,4,5,4,7,1
32.5253417978661,10.5162532118892,6,4,3,2,2,4,5,4,8,4
27.9131594704954,11.7823216304645,5,4,3,2,2,4,5,4,7,9
27.4387785221448,12.2758923045023,4,4,3,2,2,4,5,4,7,10
28.5216356914339,10.0164411165018,5,4,3,2,2,4,5,4,6,9
28.2620254218496,15.9193279400017,5,4,3,2,2,4,5,4,3,9
29.9992423007238,10.8773106907042,5,4,3,2,2,4,5,4,8,2
1.79149148521342,9.42267007070504,4,2,1,1,5,2,7,1,10,7
-0.455912680456687,9.13531494475528,3,2,1,1,3,3,2,8,1,7
2.63129588550886,9.4364495223543,4,2,1,1,5,2,7,1,10,7
1.69119232374803,9.50313121627041,4,2,1,1,5,2,7,1,10,7
-1.55254792685236,12.315642277444,5,2,1,1,3,3,6,6,9,7
0.81442010616928,12.4877585889236,3,2,1,1,3,2,6,3,9,7
0.39757162641871,10.0069852322693,4,2,1,1,3,3,2,7,1,7
-0.351952064377678,10.3799745790118,4,2,1,1,3,3,2,7,1,7
-0.125959013073437,10.6815152923547,3,2,1,1,3,3,2,8,1,7
-0.253718932852191,9.11196528542345,4,2,1,1,3,3,2,7,1,7
-3.02262189993133,10.8817181860977,5,2,1,1,3,3,2,6,1,7
0.34469805824583,13.5312186184509,3,2,1,1,3,3,3,8,9,7
0.719389823412281,9.99115162355423,3,2,1,1,5,2,7,3,10,7
2.83945027093829,12.1050828792992,4,2,1,1,5,2,7,1,10,7
1.38353271626126,10.2652209220478,4,2,1,1,5,2,7,3,10,7
-0.390656553975269,10.010206324329,3,2,1,1,3,3,2,8,1,7
-0.93197073367112,9.30888355633912,4,2,1,1,3,3,2,7,1,7
2.63458126241775,9.90932088324724,5,2,1,1,5,2,7,1,10,7
0.538344280689423,14.031110108035,4,2,1,1,3,2,3,7,9,7
0.812969603942174,11.4549353137312,3,2,1,1,3,2,6,3,9,7
0.763042546328858,12.0734858162106,3,2,1,1,3,2,6,3,9,7
0.274663869192465,12.5824891279516,3,2,1,1,3,3,6,8,9,7
-1.96015997478402,9.26688180094783,4,2,1,1,3,3,2,6,1,7
0.644330301251526,12.6698983852179,2,2,1,1,3,2,6,3,9,7
1.61613077575144,7.97770008604335,5,2,1,1,5,2,7,1,10,7
0.75108400685165,12.4042514975073,3,2,1,1,3,2,6,3,9,7
-0.308951584931147,14.9396960696431,4,2,1,1,3,3,3,7,9,7
1.23450382708047,11.240175976696,2,2,1,1,5,2,6,3,10,7
-1.43381010727269,10.7477267886459,4,2,1,1,3,3,2,6,1,7
3.21430491511297,11.4571824596236,3,2,1,1,5,2,7,1,10,7
1.36029196576665,10.8401108115166,3,2,1,1,5,2,7,3,10,7
3.02998163581836,10.598054173265,4,2,1,1,5,2,7,1,10,7
-0.421461825091962,8.86002318449341,3,2,1,1,3,3,2,8,1,7
