"position_x","position_y","time_of_infected","k3","kt3","k5","kt5","k8","kt8","k10","kt10"
26.3741587268513,24.8327975590407,2,2,1,2,1,8,6,10,4
26.8052266301586,24.7102913305328,3,2,1,2,1,8,6,10,4
28.0653834034222,20.847409677046,2,2,1,2,4,8,6,10,4
25.3075747535065,25.4303884063121,3,2,1,2,1,8,5,10,4
26.9294605968478,21.3340102026882,1,2,1,2,1,8,6,10,4
25.931631279456,21.3239098568894,0,2,1,2,1,8,6,10,4
27.6685907416976,22.1671780889031,1,2,1,2,4,8,6,10,4
25.7757291086573,21.724159106744,2,2,1,2,1,8,6,10,4
29.0135956852129,23.9264584275244,2,2,1,2,4,8,6,10,4
25.3635961475448,22.5521628270632,1,2,1,2,1,8,6,10,4
27.0033076032548,23.216319295952,3,2,1,2,1,8,6,10,4
26.6876048999011,25.5903362256616,3,2,1,2,1,8,6,10,4
25.6471004983368,25.9606031866229,3,2,1,2,1,8,6,10,4
18.4858681949454,21.2710124736495,3,2,3,2,3,2,7,4,9
19.3216685132647,20.6236158831568,3,2,3,2,3,2,7,4,9
17.715503309438,23.0360531654851,4,2,3,2,2,4,7,4,9
15.2286223536826,19.7635391158575,6,2,3,2,2,2,1,4,6
17.3885280111929,23.7623129426701,4,2,3,2,2,4,7,4,9
18.9151011018835,20.0671602054653,3,2,3,2,3,2,7,4,9
19.995413332375,23.4362818365387,4,2,3,2,3,4,3,4,9
19.5762703446602,17.8815502161694,6,2,3,2,3,2,7,4,9
16.36612517969,20.6883213943932,3,2,3,2,2,2,1,4,6
16.671984894887,21.5792122557955,4,2,3,2,2,2,1,4,6
16.7775385759441,18.7810835700452,5,2,3,2,2,2,1,4,6
17.9189742262814,20.2139632231247,4,2,3,2,2,2,7,4,9
19.1386441378708,20.1845306287127,4,2,3,2,3,2,7,4,9
26.0123708730323,7.44234593997431,6,1,1,3,1,6,5,8,4
25.212610619024,10.6774738007297,5,1,1,3,1,6,5,3,4
25.8340143964358,6.3123820596238,6,1,1,3,1,6,5,8,4
27.9742029243377,9.75771666841469,6,1,1,3,4,6,6,3,4
28.9907300635098,9.3732019251368,7,1,1,3,4,6,6,3,4
28.930704553928,6.6960290843391,7,1,1,3,4,6,6,3,4
25.6792245798284,6.00045620637845,6,1,1,3,1,6,5,8,4
24.5731508610725,6.59065502417843,6,1,1,3,1,6,5,8,4
23.7405056415736,4.99383601350984,5,1,1,3,1,6,5,9,8
24.631435460575,7.48641037420661,6,1,1,3,1,6,5,8,4
25.2830598254783,7.78722238449561,6,1,1,3,1,6,5,8,4
26.804785227112,5.33770560400967,5,1,1,3,1,6,6,8,4
25.4415242745564,5.97959571878977,5,1,1,3,1,6,5,8,4
7.49052998929377,9.55719111416543,6,3,2,4,5,5,8,1,2
7.76226378367556,8.30845606834739,5,3,2,4,5,5,8,1,2
5.30637106718351,8.4079578928906,3,3,2,4,5,5,8,1,7
5.6939490124904,7.94640124285409,4,3,2,4,5,5,8,1,7
4.30907820610834,12.4244265947592,4,3,2,4,5,3,8,6,5
7.71427695544378,9.29710382502437,5,3,2,4,5,5,8,1,2
5.61383950294486,8.89775378900494,5,3,2,4,5,5,8,1,5
6.71190154729467,8.52911755552613,5,3,2,4,5,5,8,1,2
7.89680001062121,10.9434695720393,5,3,2,4,5,3,8,1,2
5.84874665910038,7.79974988557183,4,3,2,4,5,5,8,1,7
7.34067635512757,8.47352868552539,5,3,2,4,5,5,8,1,2
5.77792297099819,5.30564500150222,5,3,2,1,5,5,8,1,5
5.43285327588277,9.6168002069175,5,3,2,4,5,5,8,1,5
5.85798769328798,13.5239662284889,4,3,2,4,5,3,8,6,7
